Categories,Negative,Titles,Links,Summary
Elderly,0,以老護老悲劇多　申訴專員公署全面調查照顧者暫託服務｜即時新聞｜港澳｜on.cc東網,https://hk.on.cc/hk/bkn/cnt/news/20240809/bkn-20240809173030953-0809_00822_001.html,申訴專員陳積志今日（９日）宣布，該署將主動調查政府支援長者及殘疾人士照顧者的暫託服務。他指近年本港不時發生照顧者疑因不堪壓力而導致倫常慘案，而「以老護老」、「以老護殘」、「以殘護殘」的失救悲劇時有發生。他指出，照顧者日常生活所面對的困難及承受的巨大壓力，是「老大難」的民生問題。公署留意到，現屆政府已落實多項以照顧者為本的針對性支援措施，包括擴展暫託服務網絡及推出照顧者支援專線等。但政府的數據顯示相關暫託服務可能未被充分使用，且有意見認為暫託服務供應地區分布不均、申請程序繁複及欠缺配套等。陳積志表示：「希望透過這項主動調查行動，認真審視有否進一步提升及改善相關措施的空間，更好地為照顧者分憂解難、改善生活質素。」調查包括審研現有長者及殘疾人士暫託服務的運作安排，包括服務規劃、申請流程、提供予照顧者的配套及資訊、服務質素及使用率的監察，以及服務推廣及宣傳工作等，並在有需要時提出適切的改善建議。[申訴專員公署會主動調查政府支援長者及殘疾人士照顧者的暫託服務情況。]申訴專員公署會主動調查政府支援長者及殘疾人士照顧者的暫託服務情況。
Elderly,0,綜援及公共福利金明年2月上調1.3%　財政承擔增逾9億元｜即時新聞｜中港台｜on.cc東網,https://hk.on.cc/hk/bkn/cnt/news/20241206/bkn-20241206191102720-1206_00822_001.html,"明年2月1日起把綜援和公共福利金計劃津貼金額上調1.3%。立法會財務委員會今日(6日)通過，明年2月1日起把綜合社會保障援助計劃標準項目金額和公共福利金計劃津貼金額上調1.3%，由此而來會增加9億2,700萬港元財政承擔，受惠人數約160萬。不少議員都質疑，政府打算要求健全的失業綜援受助人參加無償工作的計劃，對脫離綜援網有多大幫助，此外又關注計劃的行政支出。政府代表直言，未知計劃可減省多少綜緩開支，但預計有將1萬人參加無償工作，冀長遠可減少綜援方面的支出。政府計劃於明年10月試行為期兩年的「失業受助人士支援計劃」，要求15至59歲的失業健全綜援受助人士，每周參與無償工作至少1小時，否則會扣減綜援。議員林振昇指出，無償工作沒有僱傭關係和最低工資，談不上正式的工作，對於受助人將來能找一份正式的工作，以脫離綜援網的作用到底有多大？他關注政府會否加大就業支援，建議大企業給受助人工作機會，或給予照顧者一些彈性工作安排，讓他們投入職場，脫離綜援網。他又詢問政府有否長遠目標，以減少綜援申請人的數目和開支，如一段時間內減少2,000個申領失業綜援的話，料一年或可省回1億港元。議員鄧家彪認為，與其安排無酬工作，倒不如讓相關機構組成合作社，然後政府把一些外判的低技術工作委託給合作社，組織綜援受助人進行一個星期的試工，合適的話就長期上班、擺脫綜援網。議員陳曼琪關注到，提供無償工作服務的非政府組織會否收取一些行政費用；有關計劃所花的行政費會不會大過政府預期會減少的失業綜援的總金額？議員蘇長榮詢問當局，本港失業率的變動和綜援受惠人數，尤其是綜援計劃的受惠人數的關聯度是如何評估。勞工及福利局首席助理秘書長陳雅詠回覆指，預期無償工作的新計劃會相對精簡一些，成本亦應該會低一些，政府會給予營辦機構所需資金，以應付運作的開支，如聯絡受助人或跟進工作的安排。當局並沒有特別去比較有關費用可減省多少綜援開支。畢竟是一項相對新的模式，是為期兩年的試驗計劃，但會收集一些關於受助人遵循無償工作的要求，以及相關罰則的數據，以分析新計劃成效和實際效果。對於鄧家彪的建議，勞工及福利局副局長何啟明形容有新意，並會研究建議的可行性。他強調無償工作計劃的目標是希望受助人能有一些工作體會和經驗，不致跟社會脫節得太多。關於明年推行的支援計劃，要待明年才進行委託和招標程序，具體細節仍在籌劃。他指目前領取失業綜援大概15,000人左右，政府評估會有1萬位受助人需要參加有關的支援計劃，有合理原因而不能上班的，譬如要上課，或在家裡照顧患病、殘疾人士的家庭，可豁免參加計劃。何續指，目前領取綜援領取人數有所減少，尤其是失業綜援以及低收入綜援的減幅比較明顯，然而綜援當中大部份涉及殘疾和長者。政府希望透過有關支援計劃，和整體香港的失業率繼續維持在低水平，多些受助人可回到職場，減少綜援方面的支出。"
Elderly,0,去年揭過千宗呃綜援及福利金　議員倡重罰明知故犯者｜即時新聞｜中港台｜on.cc東網,https://hk.on.cc/hk/bkn/cnt/news/20250118/bkn-20250118020054974-0118_00822_001.html,港府有千億元財赤，公共財政一分一毫都不容浪費，但被喻為港人「安全網」的綜援金及長者生活津貼等公共福利金卻有濫用情況，勞工及福利局透露，截至去年11月，經檢視及調查2024/2025年度的個案後，社會福利署確立了750宗及348宗詐騙綜援及公共福利金的個案，雖然佔總體個案的比例不高，但有議員認為，對於明知故犯的人士應該要加重相關濫用的罰則，否則，變相是鼓勵濫用，也對市民不公平，直斥情況不理想。也有議員認為，當局現時制度只是抽查，而非全面檢視，相信未來會揭發更多個案。勞福局向立法會財務委員會提交的文件顯示，截至去年11月，社署確立了750宗及348宗詐騙綜援及公共福利金的個案，佔總體個案的不足0.4%及0.05%。文件舉例道，相關違規個案的人士，或涉詐騙成分如擁有境外物業，或持有大額存款而超出資產限額。當局又指，長者生活津貼的定期覆檢顯示，截至去年11月，2024/2025年度完成覆檢逾15.3萬宗個案，有397宗不符合領取資格，定期覆檢後發現不合領取資格的個案一般少於1%。立法會福利事務委員會主席管浩鳴認為，對於明知故犯的人士應該要加重相關濫用的罰則，否則只是鼓勵繼續濫用。他又以政府打擊公屋富戶為例，指出情況是「唔搞佢就繼續住，搞佢就騰返好多出嚟」。他認為濫用綜援及公共福利金的情況不理想、對市民不公平。另一議員鄧家彪則指出，現時制度只是抽查，而非全面審視所有個案，相信未來會揭發更多個案。他表示，現時打擊濫用公屋可向土地註冊處交換核查。但就境外物業方面，他表示，即使是鄰近的廣東省也需要是由個案資料才能要求對方配合，並非自動核查。他認為特區政府需要針對濫用情況多作排查。社福界議員狄志遠認為，詐騙綜援或公共福利金的個案是「社會不能接受」。他表示，雖然個案宗數不算很高，但在社會資源緊絀的情況下，更多關注並嚴格執行是好事。他又指出，過往有市民對於綜援系統的成效有懷疑，認為嚴厲打擊濫用能令市民對於系統更有信心。對於上述違規個案，當局指，若作出虛假陳述或隱瞞資料騙取援助，可遭《盜竊罪條例》起訴，及喪失領取資格，社署亦會要求相關人士償還多領的款項，不過，該署沒有備存長生津定期覆檢個案多領津貼、成功追討及尚待追討津貼總額的分類數字。[除了領取綜援，不少長者靠執紙皮變賣維生。]除了領取綜援，不少長者靠執紙皮變賣維生。
Elderly,0,涉換尿片捉腿致老婦左大腿骨折後截肢　女護理員傷人罪成 (12:40) - 20240228 - 港聞 - 即時新聞 - 明報新聞網,https://news.mingpao.com/ins/港聞/article/20240228/s00001/1709095639370/,患認知障礙症、長期臥牀的八旬老婦在護老院換尿片時疑遭女護理員捉住腿部造成左大腿骨折，最終截肢。涉案護理員否認「有意圖而導致身體受嚴重傷害」罪受審，今（28日）在區院裁決。法官認為，護理員正如供述用力過度令事主受傷，但考慮到她任職8年經驗、與事主無怨無仇，找不到其故意傷害事主的意圖，遂改為裁定最高刑罰較輕的傷人罪成立。被告劉桂芳（現年68歲）從內地來港，離任護理員後做散工和領取綜援。暫委法官鄭念慈應辯方要求先索閱感化官和社會服務令報告，惟明言只為了解被告狀况，本案有一定嚴重性，絕不代表接納建議輕判，被告須還押至3月13日求情判刑。本案事主蘇興妹（案發87歲）入住大埔的養和護老中心，她患認知障礙症並行動不便。鄭官分析證據指，案發3月21日晚上只有被告與另一人當值，接納其他護理員作供稱分別無接觸或不可能弄傷事主。至於被告警誡下招認稱「我無蓄意傷害佢」，鄭官認為錄影會面可見被告多次糾正警員錯誤，她非但沒有受驚，頭腦非常清晰，遂批准其說法呈堂。被告早前自辯稱替事主換片時分開對方雙腿，其間兩人「鬥力」，被告使力一推聽到「啪」一聲。鄭官指出，被告承認用力過度及聽到骨頭發出聲音，又說「如果唔鬥力應該唔會斷骨」，她估計並且作出招認令事主受傷。雖然控方未能證明被告具俗稱「傷人17」罪所需意圖，但鄭官認為被告在護老院工作多年知道長者骨頭脆弱、用力對待會導致骨頭折斷，於是改為裁定她「傷人19」罪成。相關字詞﹕編輯推介 法庭  
Elderly,0,人口老化 漲養老金拉動內需掀熱議 - 20241225 - 中國 - 每日明報 - 明報新聞網,https://news.mingpao.com/pns/中國/article/20241225/s00013/1735060290697/,【明報專訊】近年「養老金」成為熱詞，昨日財政工作會議開畢，再次掀起討論。中央財辦負責人上周解讀2025年擴大內需舉措時指出，將通過加大財政對終端消費直接投入、提升社會保障水平等多種方式，推動居民收入穩定增長，比如適當提高養老金，「在增強消費能力、提升消費意願上下功夫」。網民：振經濟關鍵在年輕人提高養老金作為明年拉動內需的方式，在微博等社交平台引起熱議，有人說「人生最大的贏家是身心健康地活到退休」，有打工仔直言「漲養老金可以，別加社保」，亦有許多網民表示，提振經濟關鍵還是在於要讓年輕人有錢、解決就業問題、縮小貧富差距。實際上，面對老化社會的不可逆趨勢，中國養老金支付壓力日益增大。官方智庫中國社科院指，全國城鎮職工基本養老保險基金累計結餘有可能於2035年耗盡。今年底，全國退休人員總數預計將達到1.6億，比俄羅斯人口還要多。個人養老金作為國家養老保險體系的第三支柱應運而生。自12月15日起，個人養老金制度從北京、上海、廣州等36個先行城市拓展至全國實行，截至目前，開戶人數已突破7000萬。雖然開戶不少，但真正往帳戶裏存錢的人並不多。銀行之間的「搶戶大戰」也愈發激烈。專家：擴內需應對地緣衝突關稅對於擴內需被高度重視，中國國際經濟交流中心秘書長張永軍向中新社表示，2024年中國經濟能保持約5%增速，「外需」貢獻很多力量；來年地緣衝突加劇、關稅政策變化，需擴大內需來應對。在家電、汽車以外，要找到新的內需增長點，要將擴大服務性消費作為一個重要途徑。明報記者 
Elderly,0,提早規劃 選高質院舍 度身設計安老好日子 - 20240729 - 副刊 - 每日明報 - 明報新聞網,https://news.mingpao.com/pns/副刊/article/20240729/s00005/1722187419019/,【明報專訊】白髮是上天的恩賜，年齡帶來的智慧與經驗，是我們年輕時無法能及。然而，隨年月漸長，身體功能逐漸衰退，年逾80需要額外的生活照顧和支援，確是無可避免。做好老後規劃，懂得選擇有質素的院舍居住，確保在無法自我照顧時，都能享受好好安老的日子，是一個明智的人生安排。相關字詞﹕健康 人生下半場 老人院 老人中心 白日之下 香港老年學會  
Elderly,0,解讀關鍵詞：預設醫療指示 Advance Directives in Relation to Medical Treatment，簡稱AMD - 20250428 - 教育 - 每日明報 - 明報新聞網,https://news.mingpao.com/pns/教育/article/20250428/s00011/1745771716923/,【明報專訊】年滿18歲、精神能自主及知情的病人可訂立「預設醫療指示」（AMD），一旦病人病情轉差，到生命末段而不能自決時，在特定情况下醫護人員會遵從病人意願，不提供或撤去相關的維持生命治療。預設醫療指示的目標是確保病人能獲適切的臨終照顧，讓他們在生命的最後階段毋須承受無效及無意義的治療，保持尊嚴地走完人生旅程。
Elderly,0,活在灣區：險商推「保險+養老」方案 助北上安老 - 20231214 - 港聞 - 每日明報 - 明報新聞網,https://news.mingpao.com/pns/港聞/article/20231214/s00002/1702486273794/,【明報專訊】香港人口老化趨勢愈見明顯，目前65歲或以上長者佔本地總人口比例約兩成，政府估計至2046年長者佔總人口比例將提升至36%，意味未來本港的安老服務需求將大幅增加。隨着大灣區內交通愈來愈便捷，不少本港長者選擇到大灣區內地城市養老，近年更不乏中資保險集團搶攻港人北上養老市場機遇，為本港長者提供結合保險與養老的大灣區安老綜合解決方案。相關字詞﹕大灣區GBA專題   北上養老  
Elderly,0,政府鼓勵私營參與 建殘疾院舍免地價 - 20231214 - 港聞 - 每日明報 - 明報新聞網,https://news.mingpao.com/pns/港聞/article/20231214/s00002/1702492497657/,【明報專訊】勞福局昨日宣布下周三（20日）推出計劃，提供誘因鼓勵私人發展商在其私人發展物業興建殘疾人士院舍，以增院舍供應，「常設準則」下發展商在進行新私人發展項目（不包括工業發展項目）的契約修訂、換地或私人協約方式批地時，每個項目將獲豁免繳付一間合資格殘疾院舍的地價，而該院舍總樓面面積上限為5400平方米。相關字詞﹕發展商 殘疾院舍 勞福局  
Elderly,0,75%市民未聞「預設醫療指示」 解說後七成願訂立 - 20240117 - 港聞 - 每日明報 - 明報新聞網,https://news.mingpao.com/pns/港聞/article/20240117/s00002/1705428156344/,【明報專訊】政府正擬就「預設醫療指示（AMD）」及「不作心肺復蘇術命令」立法，港大社會科學學院一項調查發現，約75%受訪者未聽過AMD，近七成從未聽過「安寧照顧」（專為晚期病人而設的身心照顧服務），不過經調查人員簡單解說，三分之二的人表示接受設立AMD。港大社會科學學院社會工作及社會行政學系系主任周燕雯指出，結果反映受訪者對有關議題認識十分貧乏，呼籲加強生死教育，「讓市民及早認識，未雨綢繆」。 
Elderly,0,八旬院友春茗食麵鯁喉亡 - 20240217 - 港聞 - 每日明報 - 明報新聞網,https://news.mingpao.com/pns/港聞/article/20240217/s00002/1708107937935/,【明報專訊】八旬婦人昨參加安老院春茗時懷疑食麵鯁喉，在場職員為老婦急救並報警，老婦昏迷經救護車送往沙田威爾斯親王醫院搶救，最終不治。事主死因有待驗屍後確定，案件暫列送院時死亡。相關字詞﹕鯁喉  
Elderly,0,捉腳換片致院友截肢 護理員判社服令 - 20240314 - 港聞 - 每日明報 - 明報新聞網,https://news.mingpao.com/pns/港聞/article/20240314/s00002/1710351182750/,【明報專訊】患認知障礙長期臥牀87歲老婦，2022年3月於護老院遭女護理員捉住腳換尿片，互相鬥力致左大腿骨折，最終截肢。護理員早前受審被裁定有意圖而導致身體受嚴重傷害罪名不成立，改為裁定傷人罪成，昨在區院判刑。暫委法官鄭念慈形容本案不幸，考慮到被告對事主表歉意，且罪成一度還押，判160小時社會服務令。相關字詞﹕社會服務令 區域法院 傷人罪 護理員  
Elderly,0,預設指示研准中醫見證 中醫醫院試行 將為解說職責定指引 - 20240327 - 港聞 - 每日明報 - 明報新聞網,https://news.mingpao.com/pns/港聞/article/20240327/s00002/1711477159914/,【明報專訊】政府擬就「預設醫療指示（AMD）」立法，條例草案提出病人訂立AMD須由至少一名註冊醫生作為見證人，早前有立法會議員期望註冊中醫亦可擔任見證人。立法會相關法案委員會昨舉行第三次會議，醫衛局副秘書長李力綱稱，經考慮後決定以明年底分階段落成的中醫醫院作試點，日後考慮註冊中醫作為見證人的角色。相關字詞﹕不作心肺復蘇術 不作心肺復蘇術命令 中醫 醫務衛生局 預設醫療指示  
Elderly,0,牙科街症籌難增 7月起晚上8時登記 盧寵茂認避深宵排隊「權宜」 電子派籌擬年內推 - 20240508 - 港聞 - 每日明報 - 明報新聞網,https://news.mingpao.com/pns/港聞/article/20240508/s00002/1715105641768/,【明報專訊】現時衛生署牙科診所街症籌量為新冠疫情前的一半，不少基層市民要「排長龍」等剝牙。政府昨日公布，衛生署7月起會將牙科街症「初步登記」安排，由凌晨12時提早至前一晚8時開始，另將推行線上電子派籌及登記系統，目標今年內推行。本報記者昨天傍晚於觀塘牙科診所視察，輪候人數已接近籌量上限（見另稿），有伯伯早上約8時已到場，稱冀籌量盡快恢復至疫前水平，「多啲（籌）咪唔使咁早嚟排」。社區組織協會憂慮提早登記會令長者更早排隊，甚至要烈日當空輪候。 
Elderly,0,患心臟病憂難顧 婦攬智障子燒炭亡 議員促加強主動識別高危照顧者個案 防止自殺求助熱線 - 20240514 - 港聞 - 每日明報 - 明報新聞網,https://news.mingpao.com/pns/港聞/article/20240514/s00002/1715623678736/,【明報專訊】葵芳邨一單親母最近患心臟病，擔心無法繼續照顧中度智障兒，於母親節翌晨與兒子燒炭亡。案件列作謀殺及自殺，由葵青區重案組調查。有立法會議員建議政府加大力度主動識別高危照顧者個案。相關字詞﹕照顧者  
